,points,title,description,price,variety,region_1,region_2,province,country,winery
5124,87,Viña Marty 2012 Pirca Carmenère (Maule Valley),"Spicy berry, bath soap and graphite aromas are a bit hard to understand. Somewhat raw and pinched in feel, this tastes of spicy plum and tomato. On the finish, peppery notes of hard spice and plum are solid, as is the closing feel.",13.0,Carmenère,,,Maule Valley,Chile,Viña Marty
5125,87,Alcance 2014 Gran Reserva Cabernet Sauvignon (Maule Valley),"Berry, raw oak and graphite aromas lead to a rock-hard drying palate with fierce tannins. This tastes of oaky salty plum and berry, while a woody finish is overtly tannic and borderline abrasive.",24.0,Cabernet Sauvignon,,,Maule Valley,Chile,Alcance
5126,87,Aresti 2015 Special Release Reserva Carmenère-Syrah (Curicó Valley),"Demanding aromas of coffee grounds, tomato sauce, herbs and black fruits are normal for Carmenère and Syrah. With choppy, aggressive tannins and oaky flavors of herbal plum and berry fruits, this tastes somewhat green, minty and spicy on the finish.",12.0,Carmenère-Syrah,,,Curicó Valley,Chile,Aresti
5129,87,Santa Ema 2013 Barrel Select Syrah (Cachapoal Valley),"Oaky aromas of graphite, vanilla, berry fruits and plum lead to a firm clampy high-acid palate with oak-rich flavors of spiced plum and currant. Mildly green, minty flavors close out a drawing tight finish.",13.0,Syrah,,,Cachapoal Valley,Chile,Santa Ema
5140,87,Valdivieso 2015 Valley Selection Gran Reserva Sauvignon Blanc (Leyda Valley),Crisp aromas veer towards fresh bell pepper and tangerine peel. This feels minerally but also like extracted grape skins. Mixed citrus and green-herb flavors end with a stony lasting feel.,17.0,Sauvignon Blanc,,,Leyda Valley,Chile,Valdivieso
5235,90,Lomas del Valle 2014 Coastal Cool Climate Estate Bottled Pinot Noir (Casablanca Valley),"Cherry and berry aromas are direct and vivid, with a slight touch of spice. There's energy to the palate, which is slightly jammy and creamy. Ripe plum and cherry flavors show mild oak notes, while the finish is bright, bold and deals some chocolaty oak.",19.0,Pinot Noir,,,Casablanca Valley,Chile,Lomas del Valle
5248,90,Primus 2013 The Blend Red (Colchagua Valley),"Lightly roasted, leathery berry aromas are oaky but not overly woody or resiny. A dense, concentrated palate is creamy but appropriate in feel, while flavors of black cherry, cassis, baking spices, vanilla and caramel end in a lasting swirl of licorice, nutmeg and cocoa powder flavors.",20.0,Red Blend,,,Colchagua Valley,Chile,Primus
5352,87,Quintay 2014 Q Grand Reserve Sauvignon Blanc (Casablanca Valley),"Initially, this smells vegetal and sulfuric, a combination that's less than encouraging. On the palate, however, it comes around to show layering and depth. Green flavors of lime and bell pepper share space with oily lanolin notes, while a briny tasting finish adds complexity.",17.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Quintay
5354,87,Chilcas 2013 Single Vineyard Pinot Noir (Casablanca Valley),"Punchy out of the chute, this smells mostly of dry herbs and spiced plum. It's fresh on the palate, with good body and modest depth. Juicy plum and red-currant flavors finish lightly oaked, with peppery spice and acidic tang.",19.0,Pinot Noir,,,Casablanca Valley,Chile,Chilcas
5357,87,Santa Alicia 2014 Reserva Espiritu de Los Andes Estate Bottled Cabernet Sauvignon (Maipo Valley),"Roasted berry aromas show notes of leather and earth. The palate is firm and tannic, with medicinal cherry and coffee flavors. A spicy finish remains after the fruit fades.",12.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Santa Alicia
5358,87,Santa Carolina 2014 Reserva Merlot (Colchagua Valley),"Aromas of tomato, plum and spice are fresh and medium in intensity. Flavors of plum, olive, spice and mild oak finish with toasty barrel notes and a spot of licorice.",11.0,Merlot,,,Colchagua Valley,Chile,Santa Carolina
5359,87,Viña Casablanca 2014 Cefiro Reserva Merlot (Maipo Valley),"Coffee, herbal berry and a light whiff of green herbs announce a solid, well-built wine, with flavors of olive, herbs, plum and blackberry. The finish is smooth, healthy, and a bit toasty.",12.0,Merlot,,,Maipo Valley,Chile,Viña Casablanca
5367,87,Vistamar 2011 Enki Red (Central Valley),"This blend of Carmenère and Carignan opens with very woody, resiny aromas as well as black-fruit depth to support all that oak. An austere, oaky, acidic palate is drawing, while toasty, herbal, roasted berry flavors are resiny and salty tasting prior to an all-wood finish.",40.0,Red Blend,,,Central Valley,Chile,Vistamar
5369,87,Morandé 2012 Vigno Carignan (Maule Valley),"An opening blitz of stalky, rustic, leathery berry aromas comes with overt oak. This is high in acidity, but with only average body weight it comes across raw and sharp. Bright, juicy red-fruit flavors vie with stalky, baked notes prior to a loamy finish that runs low on vibrancy.",40.0,Carignan,,,Maule Valley,Chile,Morandé
5395,89,Chilcas 2012 Reserva Syrah (Maule Valley),"Earthy aromas of leather, coffee grounds and blackberry are convincing. This feels full and ripe. Toasty plum and blackberry flavors offer notes of licorice and toast on a long, balanced finish.",12.0,Syrah,,,Maule Valley,Chile,Chilcas
5399,89,Leyda 2013 Single Vineyard Las Brisas Pinot Noir (Leyda Valley),"Spiced plum, dried raspberry and cherry-cough-drop aromas are attractive. This feels medium in body, with plumpness cut by fresh acidity. Flavors of dried cherry and baking spices finish solidly and smoothly.",22.0,Pinot Noir,,,Leyda Valley,Chile,Leyda
5445,84,Caliterra 2009 Bio-Sur Carmenère (Colchagua Valley),"Sweaty and murky smelling, with leather, horse and earthy berry aromas. The palate is big and dense, with grabby tannins and then herbal, roasted berry flavors with green notes. Finishes peppery and mildly green. An herbal, old-style Carmenère.",14.0,Carmenère,,,Colchagua Valley,Chile,Caliterra
5446,84,Odfjell 2009 Armador Merlot (Maipo Valley),"Sharp on the nose, with herbal, cabbage-like aromas. The palate is better, albeit rubbery in feel and infiltrated by bitter notes. Along the way, there's reasonably good berry fruit and then a piquant bite to the finish. Improves with airing; has its merits.",12.0,Merlot,,,Maipo Valley,Chile,Odfjell
5663,84,San Pedro 2012 Epica Sauvignon Blanc (Central Valley),"Gritty match-stick aromas come with grapefruit and citrus scents. This is lifted and entirely regular for Chilean Sauvignon Blanc. Flavors of lemon, lime and grapefruit are soft and mealy for such a young wine, while bitterness enters the frame on the finish.",11.0,Sauvignon Blanc,,,Central Valley,Chile,San Pedro
5668,83,Anakena 2011 Ona Special Reserve Riesling-Chardonnay-Viognier White (Leyda Valley),"This unusual blend of Riesling, Chardonnay and Viognier is toasty but also stalky smelling, with modest fruit aromas. The palate is plump and simple feeling, with chunky weight and salty flavors of roast corn and bland citrus. Oak and saline define the finish.",18.0,White Blend,,,Leyda Valley,Chile,Anakena
5669,83,Apaltagua 2012 Estate Grown Rosé Carmenère (Central Valley),"Briny citrus and sulfuric match-stick aromas lead to an edgy but fresh palate. Flavors of dry citrus and generic tropical fruits finish with citric acidity and monotone juiciness. Overall, this is a tart, fresh cleanser.",12.0,Carmenère,,,Central Valley,Chile,Apaltagua
5679,83,Château Los Boldos 2012 Cuvée Tradition Chardonnay (Rapel Valley),"Light in color, light in aromas, light in flavor... that pretty much describes this decent but rudimentary Chardonnay. Airy pear aromas lead to a monotone, fresh palate with generic flavors of peach, melon and citrus. A pithy bitterness rises up on the modest finish.",13.0,Chardonnay,,,Rapel Valley,Chile,Château Los Boldos
5684,83,Carma 2010 Estate Grown Carmenère (Maule Valley),"Soft aromas of raisin and prune lack vitality and indicate what's to come. The wine feels flabby and awkward on the palate, with only light acidity pumping up generic flavors that include coffee, herbal berry and chocolate.",10.0,Carmenère,,,Maule Valley,Chile,Carma
5685,83,Concha y Toro 2011 Casillero del Diablo Reserva Chardonnay (Limarí Valley),"This is a round, creamy, soft Chardonnay with resiny aromas. A strange, forced oak flavor dominates the flavor profile, which includes spice more than fruit. On the finish, oak and resin are about all you get.",12.0,Chardonnay,,,Limarí Valley,Chile,Concha y Toro
5770,87,Undurraga 2008 Sibaris Reserva Especial Cabernet Sauvignon (Maipo Valley),"A little murky and muddled on the nose, this has an earthy-berry aroma, with a hint of floral-based perfume. It offers acidity and solidity on the palate, which is backed by standard black-fruit flavors, with undertones of vanilla and raw oak. Very good, but it's a bit oaky.",16.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Undurraga
5772,87,Viña Requingua 2010 Toro de Piedra Reserva Cabernet Sauvignon (Colchagua Valley),"Solid blackberry, cassis and cola aromas are an invitation to enjoy this straightforward, well-made Cabernet that's lively and bouncy, with berry and black currant flavors that match the bouquet. Short on complexity but long on fruit.",14.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,Viña Requingua
5799,84,Torres 2012 Escaleras de Empedrado Pinot Noir (Maule Valley),"Scattered aromas of horseradish, cotton candy and vinegar are all over the map but don't convey varietal character or purity. This new wine from terraced vineyards in deep, rural Maule feels clipped, with heavy tannins. Mixed berry flavors are bitter and rubbery, and the finish is grabby and awkward. This is a first release; suffice it to say it needs more work to justify its price.",100.0,Pinot Noir,,,Maule Valley,Chile,Torres
5800,84,Apaltagua 2015 Reserva Rosé (Maule Valley),"Super light in color, with aromas of grape skins, nectarine and briny seashell, this rosé from Carmenère feels highly citric and shearing. Sour-leaning flavors of tangerine and lemon finish with tang and enamel-peeling acidity.",13.0,Rosé,,,Maule Valley,Chile,Apaltagua
5810,84,Montes 2014 Twins Red (Colchagua Valley),"Heavy aromas of oak, char and syrupy berry fruits don't smell entirely natural. This feels tannic and scratchy, with missing parts. The flavor of candied, sweet, dominating oak is front and center, while mint, carob and stewed berry flavors finish this off.",16.0,Red Blend,,,Colchagua Valley,Chile,Montes
5815,84,Tololo 2014 Cabernet Sauvignon (Curicó Valley),"Stalky, gritty aromas don't stir much optimism. This feels dry, hard and tannic, while salty, herbal, horsey red-berry flavors finish with some moderate heft and a clampy feel.",10.0,Cabernet Sauvignon,,,Curicó Valley,Chile,Tololo
5856,93,Concha y Toro 2005 Don Melchor Cabernet Sauvignon (Puente Alto),"This comes across as the best Don Melchor that Concha y Toro has produced, and at $69 it should be. It's very ripe, with oak sitting atop pure cassis and plum aromas. The palate is sweet, juicy and packed with dynamite blackberry and black plum flavors. Dark, chocolaty and long on the finish, with ripe tannins. Drink now or hold for five years.",69.0,Cabernet Sauvignon,,,Puente Alto,Chile,Concha y Toro
5870,92,Concha y Toro 2005 Terrunyo Block: Las Terrazas Cabernet Sauvignon (Pirque),"A little rubbery and tough on first sniff, but this pedigreed Chilean Cab settles with airing and soon shows exciting, fully ripe raspberry, cassis and blackberry flavors. The mouthfeel is perfectly cushioned yet intense, and the finish is ripe, smooth and composed. Ready to go now but should hold steady for another three years.",37.0,Cabernet Sauvignon,,,Pirque,Chile,Concha y Toro
5924,83,Haras 2008 Estate Chardonnay (Maipo Valley),"Stemmy, stalky aromas cloud over dilute fruit notes, while the palate is on the acidic side, which causes citrus and pithy peach flavors. More pith on the finish, with a hint of banana. Just o.k., with limited character.",12.0,Chardonnay,,,Maipo Valley,Chile,Haras
5926,83,Santa Ema 2007 Barrel Select Reserve Carmenère (Cachapoal Valley),"Opens with generic red fruit and candy aromas, but the palate is overtly acidic, which causes a sourness to go with candied, medicinal berry fruit flavors. After the tartness subsides, there's regular red fruit notes left over.",12.0,Carmenère,,,Cachapoal Valley,Chile,Santa Ema
5930,83,Luis Felipe Edwards 2008 Reserva Carmenère (Colchagua Valley),"Herbal, punchy aromas start it off, and the palate has strong acids and rubbery tannins in support of herbal, red fruit flavors that suggest rhubarb. Strains to show much ripeness.",10.0,Carmenère,,,Colchagua Valley,Chile,Luis Felipe Edwards
5937,87,Chilcas 2009 Reserva Carmenère (Maule Valley),"Smells like Italian herbs, dry red fruits and tomato sauce, or in other words, a nice pizza. The palate is a bit tight and astringent for the variety, with cherry, blackberry and licorice flavors. Not super spicy or complex, but still tasty and varietally correct.",13.0,Carmenère,,,Maule Valley,Chile,Chilcas
5963,88,Casa Silva 2009 Los Lingues Gran Reserva Carmenère (Colchagua Valley),"As usual for Casa Silva, this Carmenère is foreceful, minty, herbal and spunky on the nose, with a bold fruit aroma. The mouthfeel is robust and juicy, and the flavors run from herbal plum to berry to carob. The finish is herbal, with length and texture.",22.0,Carmenère,,,Colchagua Valley,Chile,Casa Silva
5980,88,Viña La Rosa 2010 La Capitana Barrel Reserve Carmenère (Cachapoal Valley),"This is a full and chunky wine, with thick blackberry and varietally correct herb aromas. The palate has a firm feel and good texture, while the flavors of herb, chocolate, pepper and black fruit settle on a secure, fresh and lively finish.",17.0,Carmenère,,,Cachapoal Valley,Chile,Viña La Rosa
5982,88,Misiones de Rengo 2011 Gran Reserva Cuvée Chardonnay (Leyda Valley),"Peach, apple and pear aromas are smooth and easy to like. The mouthfeel is juicy and fresh, which Leyda Valley is known for, while the flavors of citrus, apple and nectarine come with acid-driven snap. As a whole, this is more fruity and focused than oaky and heavy.",20.0,Chardonnay,,,Leyda Valley,Chile,Misiones de Rengo
5995,87,Santa Alicia 2007 Reserve Malbec (Maipo Valley),"Opens with floral berry aromas and standard-issue black fruit notes. The palate has moderate weight and stickiness, while the flavors of cassis, berry and rubber are smoky. Juicy and alert enough, but also dense and rich, with caramel and berry syrup on the finish.",9.0,Malbec,,,Maipo Valley,Chile,Santa Alicia
6052,87,Siegel 2013 Crucero Collection Carmenère (Colchagua Valley),"Cherry and olive aromas are fair and sound, with a minty green touch. This offers a chunky, full palate and oaky, spicy flavors of black plum. The dark, toasty finish is solid, with kick and mild heat.",13.0,Carmenère,,,Colchagua Valley,Chile,Siegel
6053,87,Sierra Batuco 2012 Reserva Estate Bottled Pinot Noir (Maule Valley),"Earthy, dry and leathery on the nose, with slightly briny red-fruit aromas, this meets all the requirements of very good everyday Pinot Noir. Tea, brandied black cherry, spice and oak flavors darken up and turn chocolaty on the finish.",12.0,Pinot Noir,,,Maule Valley,Chile,Sierra Batuco
6064,87,Indomita 2014 Gran Reserva Pinot Noir (Casablanca Valley),"This creamy feeling wine is dry and spicy on the nose more than bold and fruity. Candied cherry, raspberry and milk chocolate flavors carry mild spice accents, while the finish is lightly oaked in flavor and a touch chewy in texture.",15.0,Pinot Noir,,,Casablanca Valley,Chile,Indomita
6077,85,Viña La Fortuna 2010 Culpeo Made with Organic Grapes Merlot (Curicó Valley),"Dark in color, this delivers black fruit aromas along with a toasty note. While it's slightly hollow in the middle, it's wide around the edges, tasting of mossy blackberry and herb. The finish is toasty, big and grabby.",10.0,Merlot,,,Curicó Valley,Chile,Viña La Fortuna
6081,85,Cremaschi Furlotti 2008 Edición Limitada de Familia Red (Loncomilla Valley),"The floral, candied aromas seem odd for Chile. On the palate this feels powerful and wide, with flavors of floral red berry, kirsch and spiced jam. It feels juicy and high in acidity; the finish lacks some texture.",27.0,Red Blend,,,Loncomilla Valley,Chile,Cremaschi Furlotti
6082,85,Cuevas del Sur 2010 Reserve Merlot (Curicó Valley),"The briary red-berry and plum aromas are earthy and rubbery. This is medium in body and a bit heavy, with just-adequate acidity and solid flavors of plum, berry and resiny oak. The finish is oaky and medicinal tasting.",15.0,Merlot,,,Curicó Valley,Chile,Cuevas del Sur
6094,84,Millaman 2010 Limited Reserve Carmenère (Maule Valley),"Rather heavy and green on the bouquet, with olive, raisin and herbal aromas. Tannic in the mouth, this has a beam of acidity that keeps it moving forward. It's herbal, fruity and loaded with green and black olive flavors. The finish is quick and oaky.",15.0,Carmenère,,,Maule Valley,Chile,Millaman
6098,84,Cremaschi Furlotti 2010 Reserva Carmenère (Loncomilla Valley),"This is chunky and mossy on the nose, then thick and chewy in the mouth. It tastes of blueberry and herb, with a rubbery note on the finish. A meaty quality runs throughout.",12.0,Carmenère,,,Loncomilla Valley,Chile,Cremaschi Furlotti
6120,87,TerraNoble 2016 Reserva Terroir El Algarrobo Sauvignon Blanc (Casablanca Valley),"A note of grass blends with tropical aromas centered on passion fruit. Tangy, tight and citric, this offers flavors of green apple, tangerine, lemon and passion fruit. A light streak of green works its way onto the finish.",13.0,Sauvignon Blanc,,,Casablanca Valley,Chile,TerraNoble
6156,86,Valle Secreto 2014 Key Malbec (Cachapoal Valley),"Gritty horsey berry aromas lead to a medium-bodied, basic palate. This tastes of blackberry and savory spices, while the finish is mild in flavor and short on length.",16.0,Malbec,,,Cachapoal Valley,Chile,Valle Secreto
6159,86,Leyda 2015 Single Vineyard Kadún Sauvignon Gris (Leyda Valley),"Initial aromas of canned peas and green fruits are classic Leyda. This Sauvignon Gris is intense on the palate, with a sense of green grape skins to the mouthfeel. Potent, racy flavors are herbaceous, while bell pepper is a key flavor on the finish.",18.0,Sauvignon Gris,,,Leyda Valley,Chile,Leyda
6167,86,Casas del Bosque 2015 Reserva Sauvignon Blanc (Casablanca Valley),"Pungent pyrazine-heavy aromas of bell pepper and asparagus are typical for this winery. A chunky palate is oily in feel, while vegetal-leaning, green flavors of pickled citrus fruits end with a salty note.",13.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Casas del Bosque
6172,86,Santa Rita 2015 Reserva Syrah (Maipo Valley),Spicy grassy aromas of catmint are matched by unusual clove scents. A tough rubbery palate is where you'll find spicy blackberry and green-herb flavors. Pulling tannins are the driving force on this wine's choppy clipped finish.,13.0,Syrah,,,Maipo Valley,Chile,Santa Rita
6174,86,Junta 2014 Momentos Reserve Malbec (Curicó Valley),"Campfire, animal, horseradish and berry aromas make for a slightly difficult nose. This Malbec feels pinched, with tannic pull. Salty black-fruit flavors finish similar, with popping acidity that keeps this lively.",12.0,Malbec,,,Curicó Valley,Chile,Junta
6175,86,Junta 2015 Momentos Reserve Sauvignon Blanc (Curicó Valley),"Clean pear and apple aromas come in front of a citrusy palate with just enough shearing acidity to keep things balanced. Ringing, lasting lime and orange flavors are slightly briny, while this finishes solid and zesty.",12.0,Sauvignon Blanc,,,Curicó Valley,Chile,Junta
6238,85,Porta 2008 Reserva Cabernet Sauvignon (Aconcagua Valley),"A bit foxy and jumpy at first, and then familiar aromas of berry and plum settle in. The palate is jammy and tannic, while flavors of berries and currants seem roasted. Tobacco and olive notes are present on the chewy, weighty, textured finish.",12.0,Cabernet Sauvignon,,,Aconcagua Valley,Chile,Porta
6244,85,Concha y Toro 2008 Casillero del Diablo Reserve Cabernet Sauvignon (Central Valley),"For a huge-volume wine, it's what we'd expect. Controlled oak results in aromas of coffee, vanilla, marshmallow and resin in addition to cassis and cherry, while the palate offers generic fruit flavors as well as vanilla and herbal notes. A bit puckery and scratchy, but keep in mind that annual production tops 1.3 million cases.",10.0,Cabernet Sauvignon,,,Central Valley,Chile,Concha y Toro
6249,85,Santa Carolina 2008 Reserva de Familia Malbec (Rapel Valley),"Very dark and grapey, with raisin, licorice and bite to the bouquet. Saturated and heavy in the mouth, with lemony acidity framing loud, generic black fruit flavors. The finish features ample oak in the form of butter and coconut. A little overripe and oaky, but on the right path.",15.0,Malbec,,,Rapel Valley,Chile,Santa Carolina
6250,85,Santa Rita 2008 120 Cabernet Sauvignon (Central Valley),"This value-priced wine struts like it comes from a better neighborhood. The nose is clean and is centered on berry fruit, while the palate is medium in size, with creamy, sweet berry flavors. Mildly medicinal and candied, but good overall.",8.0,Cabernet Sauvignon,,,Central Valley,Chile,Santa Rita
6286,87,Santa Alicia 2008 Gran Reserva de Los Andes Cabernet Sauvignon (Maipo Valley),"Cassis, olive and a hint of nail polish make for a solid, Chilean-style nose. The palate has a firm, juicy feel and nice flavors of raspberry and plum followed by secondary notes of woodspice and vanilla. Peppery and a little resiny on the finish.",15.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Santa Alicia
6304,86,Lomas del Valle 2010 Sauvignon Blanc (Casablanca Valley),"Opens with aromas of lettuce, underripe peach and mineral water. The palate is healthy and crisp, with lemony acids and fresh flavors of green fruits and lettuce leaf. Clean but lightly bitter.",13.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Lomas del Valle
6445,87,Undurraga 2001 Reserva Carmenère (Colchagua Valley),"Spicy and peppery, with lots of body and richness. In a word, it's true Carmenère. The fruit here is ripe and lush, with plenty of herbal essence, and for every drop of plum or black cherry there's a balancing hint of green herb and bell pepper, which does not signal underripeness. The finish is tight and long, with some espresso flavor. If you're interested in trying a well-made Carmenère, give this a go.",11.0,Carmenère,,,Colchagua Valley,Chile,Undurraga
6449,86,Montes 2000 Alpha Cabernet Sauvignon (Curicó Valley),"Big and ripe, with cola, root beer and berry aromas along with rich oak. The palate is a high-wire act of bright red fruit combined with thick milk chocolate and malt. The tannins and acidity allow the wine to be aggressive, maybe too much so given that the fruit is somewhat tart and prickly.",20.0,Cabernet Sauvignon,,,Curicó Valley,Chile,Montes
6450,86,Montes 2001 Oak Aged - Reserve Malbec (Colchagua Valley),"Simple and clean up front, with inviting aromas. The mouth on this wine is broad and satisfying, and the flavors of plum, blackberry, black olive and buttery oak work in tandem. The finish is a bit aggressive, and here the oak is powerful as it leaves a bitter lasting sensation. But overall the wine impresses for its solidity and full fruit.",10.0,Malbec,,,Colchagua Valley,Chile,Montes
6455,86,Morandé 2002 Vitisterra Grand Reserve Chardonnay (Casablanca Valley),"Fairly forward, with aromas of lemon curd and the insides of many oak barrels. In the mouth are the full allotment of pear, apple and lemon flavors, while the finish sits down and dries out rather nicely. Tasty and refreshing, with just enough heft.",15.0,Chardonnay,,,Casablanca Valley,Chile,Morandé
6457,86,San Pedro 2001 Castillo de Molina Reserva Cabernet Sauvignon (Lontué Valley),"A bit of complexity dances across the bouquet: there's rubber, wood, anisette and mute red fruit; there's also some minty green aromas, too. The palate is properly round and buttery, with ample red-fruit flavors, while the finish is smooth and mostly satisfying. This is a basic Cabernet, but a good one.",11.0,Cabernet Sauvignon,,,Lontué Valley,Chile,San Pedro
6459,86,Concha y Toro 2001 Xplorador Chardonnay (Casablanca Valley),"Everything about this mass-market Chard works. The nose has some pleasant nectarine and apricot aromas, while the mouth is racy and lively, and loaded with mango, pear and honeydew flavors. The finish is fruity, if a tad sweet. Nevertheless it's fresh and clean, and it leaves a good lasting impression. Anyone who likes a sweeter-styled white will fancy this. Best Buy.",7.0,Chardonnay,,,Casablanca Valley,Chile,Concha y Toro
6462,86,La Palma 2002 Estate Bottled Sauvignon Blanc (Cachapoal Valley),"Simple, open and ready to drink. The nose is floral, with hints of fresh pear. The flavor profile turns to citrus in the form of orange and pineapple, and then comes a full-force but fairly collected finish.   Best Buy.",8.0,Sauvignon Blanc,,,Cachapoal Valley,Chile,La Palma
6465,86,Calina 2001 Reserve Merlot (Maule Valley),"The nose is standard fare as it offers cherry, plum and a hint of herbaceousness. Good plum and berry fruit carries the mouth, while the finish is round and smooth. The wine is balanced and entirely satisfying even if it is basic in its intent. As per usual, Calina delivers a good wine for the price. -M.S.",8.0,Merlot,,,Maule Valley,Chile,Calina
6472,86,La Palma 2002 Estate Bottled Cabernet Sauvignon-Merlot (Cachapoal Valley),"Very forward and young, with an overt, grapey style. This wine doesn't walk lightly, as it starts out more positive than it finishes. The plum, cassis and berry fruit is really ripe and active, but there's also some aggressive acidity that makes it more tangy and sharp than ideal.",10.0,Cabernet Sauvignon-Merlot,,,Cachapoal Valley,Chile,La Palma
6473,86,Calama 2002 Chardonnay (Casablanca Valley),"A mild aromatic note of corn goes alongside basic pineapple, pear and green apple on the nose. The flavors of melon, apple and pear are standard and delivered in conformed, pedestrian style. And the finish has some girth and substance. Very ordinary but successful in achieving its assumed mass-appeal goals. –M.S.",9.0,Chardonnay,,,Casablanca Valley,Chile,Calama
6477,85,oops 2009 Sauvignon Blanc (Central Valley),"This wine varies in quality and perception based on when in its lifespan you taste it. Now, toward the end of the line, it's tropical and hanging in there, with green apple, citrus and other typical SB aromas and flavors. Even with 15% Carmenère in the blend for kicks, it's standard and workmanlike.",11.0,Sauvignon Blanc,,,Central Valley,Chile,oops
6484,85,Concha y Toro 2009 Xplorador Chardonnay (Central Valley),"Quiet on the bouquet except for a dusting of oak and banana. The palate is heavy and wide, if a bit flabby, and the flavors of melon and mango run sweet, much like fruit punch. Soft and sweet on the finish as well, and overall it's good but generic. Not many Chards in the price range will fare better.",8.0,Chardonnay,,,Central Valley,Chile,Concha y Toro
6488,85,William Cole 2010 Albamar Sauvignon Blanc (Casablanca Valley),"Sweaty and sharp on the nose, with punchy, oily, green aromas. The palate is wet and basic in feel, with nettle, grapefruit and passionfruit flavors. Good in terms of core qualities but not all that intense or layered. A basic wine for general consumption.",11.0,Sauvignon Blanc,,,Casablanca Valley,Chile,William Cole
6497,87,Oveja Negra 2010 Single Vineyard Carignan (Maule Valley),"Graphite, blackberry, cassis and toast aromas define the bouquet on this hard-smacking, wide-bodied Carignan. The flavor profile is dominated by rugged flavors, and the mouthfeel is bouncy. Loud on the finish at first, and then things go quiet.",18.0,Carignan,,,Maule Valley,Chile,Oveja Negra
6503,87,Santa Alicia 2009 Gran Reserva de Los Andes Merlot (Maipo Valley),"This is dry, spicy and subdued on the bouquet, with a red berry aroma leading the charge. Focused and fresh on the palate, it has spicy, mildly oaky flavors of toasty berry fruit. Pinches of pepper and chocolate add weight and darkness to the finish.",15.0,Merlot,,,Maipo Valley,Chile,Santa Alicia
6504,87,Santa Helena 2011 Selección del Directorio Gran Reserva Cool Coastal Vineyard Sauvignon Blanc (Colchagua Valley),"This crisp, acidic Sauvignon Blanc leans green with pea and canned bean aromas, but it offers enough green apple and citrus character for enjoyment. The palate is zesty and lemony, with flavors that include green veggies, herbs, limes and tangerines. The finish is mildly green and citrusy.",10.0,Sauvignon Blanc,,,Colchagua Valley,Chile,Santa Helena
6519,87,Concha y Toro 2011 Gran Reserva Serie Riberas Ribera del Rapel Chardonnay (Colchagua Valley),"This is waxy smelling, with a coastal vegetal note that conveys cool-climate grapes. The palate is short and clipped in feel, with a waxy, mealy note to the wine's core melon and peach flavors. It's chunky on the finish and is a touch mealy in taste.",17.0,Chardonnay,,,Colchagua Valley,Chile,Concha y Toro
6576,85,Emiliana 2009 Natura Merlot (Rapel Valley),"Fairly hard on the nose, with a hint of plastic and then raspberry and plum aromas rising as it settles. The palate shows decent zest and body along with narrow flavors of berry and pepper. Finishes with mild intensity and a note of saline.",11.0,Merlot,,,Rapel Valley,Chile,Emiliana
6592,85,Botalcura 2006 Cayao Red (Central Valley),"Rather hard and baked on the nose, with a heavy helping of char and molasses. The palate is angular and tannic, while the flavors revolve around lemony oak and spice more than fruit. Spiky on the finish and sharp-edged as a whole. A blend of Cabernet Sauvignon, Carmenère, Malbec and Syrah.",60.0,Red Blend,,,Central Valley,Chile,Botalcura
6595,85,Chilensis 2009 Reserva Malbec (Maule Valley),"Purple in color, with grapey aromas that lack complexity. The palate is deep and dense but edgy, with sugary flavors of candied black plum and black cherry. Finishes sweet like burnt brown sugar, with some coffee and anisette. Syrupy but generous.",12.0,Malbec,,,Maule Valley,Chile,Chilensis
6621,87,Miguel Torres NV Santa Digna Estelado Rosé Sparkling (Chile),"Wheaty and yeasty on the nose, this becomes clearer and more focused on the palate and finish. The mouthfeel is round and solid, while the flavor profile folds in a maderized tone, with cherry and raspberry notes and mild bitterness.",,Sparkling Blend,,,Chile,Chile,Miguel Torres
6622,87,Morandé 2008 Edición Limitada Carignan (Loncomilla Valley),"Edgy plum and berry aromas come with an herb accent, a spice note and a flower element. It comes across high in acidity, with shearing plum and cherry flavors that end with a feeling of citric acid. It's crisp and intense, but also tight as nails.",23.0,Carignan,,,Loncomilla Valley,Chile,Morandé
6636,87,Apaltagua 2010 Signature Cabernet Sauvignon (Maipo Valley),"This wine's crusty, minerally aromas of black fruit are lightly toasted and earthy. On the palate, it feels tannic and high in acidity, with roasted, earthy flavors of plum and raspberry. Concentrated and grabby on the finish, it has a touch of lemony oak and astringency.",40.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Apaltagua
6641,87,Vistamar 2010 Sepia Reserva Cabernet Sauvignon (Maipo Valley),"The bouquet is dense, smoky and rubbery, with powerful meat and berry notes. It shows vitality as well as mild choppiness on the palate, with tobacco, lemon, balsamic vinegar and black fruit flavors. Mildly herbal, it is somewhat creamy and good overall on the finish.",12.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Vistamar
